label,text
1,s bahn hamburg ist nachts soviel angenehmer keine pseudocoolengangsteridioten die nur auf digga machen und weniger nervige familien
0,zudem kenn ich kein schwein in dem kurs meine bahn hatte 3 minuten verspätung und ich hab null bock
1,frage zu preisauskunft 92 tage vor reisebeginn  probebc frage zu preisauskunft 92 tage vor reisebeginn  probebc fahrkarten angebote und tarife quasar  samstag 07 mai 2016 0735 hallo ich bin neu hier ich habe seit ca vier wochen hier einiges mitgelesen und bin über die masse an tipps und kniffen bei der ein oder anderen fahrpreisgeschichte erstaunt ich plane im september eine fahrt von dortmund startpunkt in den schwarzwald feldberbärental jedoch sind es bis dahin noch mehr als 92 tage buchungsfrist online und die seite wirft keine preise raus jetzt habe ich hier gelesen dass es die preise auch sechs monate im voraus einsehbar sind nur bin ich kein bahncard nutzer für ein oder zwei fahrten lohnt sich ein jahresabo nicht wirklich und kann daher auch am prämiensystem nicht teilnehmen eine auskunft am db schalter war auch nicht möglich da ich dort auch keine information erhalten habe und auf die 92 tage buchungsfrist verwiesen wurde eine weitere frage gibt es eventuell weitere probebc angebote außer denen die meist am jahresanfang eingestellt werden diese fußballbc ist für mich bisher konditionell nicht wirklich klar mit eine danke im voraus ein sonniges wochenende quasar
1,das papier von der an weselsky hat grube bestimmt mit hdgdl unterschrieben bahnstreik ende
0,uli könig zum szartikel auch auf zugstrecken in sh droht täglich eine katastrophe 6piraten uli könig zum szartikel auch auf zugstrecken in sh droht täglich eine katastrophe 6piraten pressemitteilung christian lewin pressesprecher der piratenfraktion im schleswigholsteinischen landtag tel 04 31  988 1603 pressesh
0,bahn fahren ein einziges großes abenteuer
0,wo bekommt man eigentlich die arbeitszeit ersetzt die man durch störungen/ausfall bei der verliert rb75
0,stiftung warentest warum mobiles internet in der bahn schlecht funktioniert  https//tco/0gfqvxtchu infrastruktur praxistest fail
1,ramelow sieht gute chancen auf einigung im lokführerstreik 21052015 ramelow sieht gute chancen auf einigung im lokführerstreik erfurt dpa  thüringens ministerpräsident bodo ramelow sieht gute chancen auf eine lösung im tarifstreit bei der deutschen bahn mit der einigung auf ein formelles schlichtungs
0,züge in dortmund verspätungen der bahn nach stellwerkausfall gestrandeten pendler nicht zu lange warten müssen teilte die deutsche bahn mit quelle lnw züge in dortmund verspätungen der bahn nach stellwerkausfall
1,stuttgart als erste deutsche großstadt ab sofort wlan in stuttgarter sbahnen kostenlos linien s4 s5 und s6 bereits aktiv weiere folgen richtigerlurch nice obwohl ich stuttgarter bin muss ich sagen hässliche stadt deal ist aber hot nuja immer positiv sehen pforzheim ist deutlich übler schluden falsch sbahn  stadtbahn ne ne ne in karlsruhe ist das etwas anders kannst du hier nachlesen aber deinen spruch hört man ständig wenn man aus karlsruhe oder umgebung kommt man kann sichs nicht abgewöhnen
0,linie 157  folgende fahrt entfällt  ostheim 0555h  merheim 0615h  vischeringstr 0625h  holweide sbahn http//tco/c8rxpiaok9
0,im ice die derzeitige toilettensituation ist äußerst angespannt   bahn ansage
0,bahn und gdl einigten sich in der nacht auf eine gesamtschlichtung in dem festgefahrenen tarifkonflikt sagte ein sprecher des …
1,wg in münchen 10min zur s bahn laim 11 min s bahn pasing  frei ab 20150801 die wg liegt in münche in direkter nähe zum westbad cafes einkaufsmöglichkeiten eine gute anbindung über s bahn tram und bus sind selbstverständlich es sind 2 min zum bus und 1012 min zur s bahn oder 5 min zur tram bis zum hauptbahnhof city sin
1,wir sind froh dass eben so schnell reagiert um die sicherheit der fahrgäste zu gewährleisten /ma
1,alles klar mit dieser auskunft ist mir schon einmal sehr geholfen vielen dank und ihnen noch einen schönen tag 
0,minister attacke von grafing ohne islamistischen hintergrund 1/4 polizisten am münchner hauptbahnhof an einem sbahnhof bei münchen hat es einen womöglich islamistisch motivierten messerangriff gegeben symbolbild foto /epa dpa/sven hoppe 2/4 ein forensiker am tatort beim sbahnhof grafing 3/4 polizeiarb
0,re infrankende logisch da hat die bahn die wenigsten arbeit mit da ihre züge ja im regelbahnhof schon ausgelaufen sind können sie dort wieder beginnen leidtragende sind die kunden
1,für möchtegern syltshuttle rdc so sieht ein sicherer wagon für die fahrzeugbeförderung aus  db bahn sylt http//tco…
1,re db bahn danke für ihr verständnis und ihre immense geduld hier in fb so freundlich  kompetent und verständnisvoll immer zu reagieren  das ist wahrlich auch alles nicht einfach für sie alle die sie nun mehr arbeit damit haben  das sagte ich auch ihrer kollegin am telefon 
1,lob für den zugchef des ice 542 wir wurden im rahmen des personenschadens immer auf dem laufenden gehalten
0,re kein stuttgart 21 daß es vereinzelt vandalismus gibt ist bedauerlich aber keine erklärung für die zahllosen nicht funktionierenden anlagen viel plausibler ist doch daß die bahn mit dem management überfordert ist und/oder bei den mitteln zur instandhaltung spart schließlich braucht man das geld für den dringend notwendigen schiefbahnhof der einigen profiteuren die taschen füllt vandalismus hat es nämlich schon immer gegeben
1,nach streikende wann die züge wieder normal fahren berlin dpa  erleichterung für millionen pendler und reisende der mittlerweile neunte lokführerstreik bei der deutschen bahn geht zu ende laut der gdl ist dieser offiziell um 1900 uhr vollständig beendet wann fahren die züge wieder nach dem nor
1,per bahn tgv nach paris  weniger als 3 stunden fahrzeit von deutschland  schweiz tgv / ice hochgeschwindigkeitszug mit 320 km/h nach paris mehr informationen und tipps zb zur frage wie kaufe ich günstiger tickets / fahrkarten im paris reiseführer http//wwwparisreisefuehrerinfode/anreiseparis/bahnverbindungenticketsfahrzeiten/
0,und weil ich meinen bus aufgrund verspäteter bahn nicht bekomme und der nächste erst in 30min kommt darf ich mit der sch…
0,re aktuelle stunde die züge sind eben alle alt und früher wurde seitens deutsche bahn und herstellern eben nur mit 35 grad außentemperatur kalkuliert
1,autonomes fahren ohne führerschein antwort autonomes fahren ohne führerschein gnampf  dienstag 04 august 2015 1821 vor 2 minuten  ktmb aktuelle rechtslage der fahrer ist verantwortlich ergo hat er auch den führerschein zu besitzen nüchtern zu sein etc wie es da mal in der zukunft aussehen wird können dir maximal die politiker verraten die die entsprechenden gesetze verabschieden werden oder die entsprechende industrie die die politiker dazu bringen wird diese gesetze in ihrem sinne zu erlassen die story wird allerdings vermutlich nicht so ablaufen wie du dir das vorstellst du wirst eher am ausgangsort in das emobil einsteigen und am zielort aussteigen die bahn wird bei dem spiel dann der verlierer sein wozu noch bahn wenn du doch die vorteile der bahn dich eben nicht aufs fahren konzentrieren zu müssen sondern sonstwas erledigen zu können mit den vorteilen des autos flexibilität privatsphäre kombinieren kannst
0,hall of fame der rzheadlines 1180 bahn eine einigung mit viel verzug zeile auf wirtschaft zur schlichtung im …
1,db navigator großes update bringt frisches design und neue funktionen http//tco/gj5hbafrw2
1,kann man nicht einfach beim schaffner verlängern sind nur 150€ unterschied wäre mal ein sinnvoller service
0,eine frau in der bahn hat eben angefangen bei der hitze pringles sour cream  onion zu fressen jesus
1,sehr pünktlich die bahn  https//tco/h7dcpxdjam
1,schön hier
1,tarifkonflikt bei der bahn beendet tarifkonflikt bei der bahn beendet der tarifkonflikt zwischen der deutschen bahn und der gewerkschaft deutscher lokomotivführer gdl ist nach einem jahr beendet das meldet die presseagentur dpa 0 twittern beide seiten haben demnach einen tarifvertrag abgeschlossen die streikgefahr sei damit endgültig gebannt hieß es die tarifparteien hatten in den vergangenen fünf
0,rbahn r7 richtung herrenberg mit der nächsten haltestelle none hat 01000 verspätung
0,hänge jetzt 15 km zu weit an nem bahnhof fest weil die bahn es nicht geschissen bekommt die richtigen ansagen zu spielen
1,deutsche bahn startet onlineportal für filme im ice  netzökonom http//owly/rmtht deutsche bahn startet onlineportal für filme im ice  netzökonom http//owly/rmtht﻿ article mit filmen und spielen die von fest installierten servern im zug kommen will die bahn künftig kunden binden und die internetverbindungen in den zügen entlasten zudem soll das portal echtzeitinformationen über den aktuellen fahrplan liefern http//owly/rmtht
0,linie 152  folgende fahrt entfällt aufgrund eines wagenschadens  h chempark sbahn 0932h  h stammheim https//tco/sulledanih
1,lärmschutz bei der bahn geräuschlose hybridrangierloks vorgestellt http//tco/atknmvzzoc audio franken
1,die bahn bot mir vorgestern per email ein upgrade für beide strecken gestern und heute für insgesamt 10 eur an 
1,ich werd in der s bahn von einem mir unbekannten jungen mann gegrüßt den ich nicht kannte schön
0,b zivilfahnder nehmen dreiste taschendiebe fest berlinspandau ots  zivilfahnder der bundespolizei nahmen am wochenende drei taschendiebe fest sie hatten einen schlafenden bestohlen sonntagmorgen gegen 0620 uhr geriet das trio auf dem bahnhof spandau ins visier der beamten in einer dort stehenden sbahn machten sie sich an einem schlafenden fahrgast zu schaffen als sich die drei männer mit einem gestohlenen smartphone davon machen wollten nahmen die bundespolizisten sie fest das opfer ein 25jähriger tourist aus israel hatte von alledem nichts mitbekommen war aber glücklich sein telefon wieder zu bekommen die 23jährigen diebe aus rumänien sind teilweise schon wegen ähnlicher delikte polizeibekannt die bundespolizei leitete ermittlungsverfahren wegen diebstahls in besonders schwerem fall ein und stellte weiteres vermeintliches diebesgut in form von monatsfahrkarten und bargeld sicher nach abschluss der polizeilichen maßnahmen setzten sie beamten das trio auf freien fuß rückfragen bitte an bundespolizeidirektion berlin  pressestelle  schnellerstraße 139 a/ 140 12439 berlin telefon 030 91144 4050 mobil 0171 7617149 fax 030 911444049 email presseberlinbundde http//wwwbundespolizeide visited 2 times 2 visits today
0,re nico damrat sehr geehrte damen und herren gestern habt ihr mal wieder bewiesen dass ihr das inkompetenteste unternehmen deutschlands seid mein bruder war gestern in heidelberg bei einem wichtigen termin er hatte sich ein zugticket mit hin und rückfahrt für 38€ gekauft da er schon früher als geplant in heidelberg fertig war wollte er das zugticket umtauschen dass er den aufpreis für die fahrt zahlen müsste wäre ja zu 100 zu verstehen aber dann eine bearbeitungsgebühr von 1750€ zu verlangen für einen aufwand von wenigen sekunden ist in meinen augen einfach nur pure abzocke daraufhin hat er rund 2 stunden auf seinen eigentlichen zug gewartet leider kam dieser niemals in heidelberg an für die tatsache dass auf der strecke ein brand war mache ich euch natürlich keine vorwürfe jedoch dafür dass ihr weder informationen noch hilfreiche hinweise an die betroffenen weitergegeben habt alle betroffenen wurden aufgefordert mit der sbahn nach mannheim falsche richtung zu fahren um von dort aus weiter zu reisen nur sind leider in euren zügen mal wieder hätte man ja drauf wetten können bei der hitze die klimaanlagen ausgefallen sodass viele reisende kollabiert sind das einzige was daraufhin von eurem tollen personal kam war seht zu wie ihr irgendwie an euer ziel kommt diese aussage ist die größte frechheit die man sich nur denken kann daraufhin hat er mich angerufen und mich gebeten ihn aus heidelberg abzuholen was ich dann natürlich auch gemacht habe nach kurzem telefonieren konnte er mir dann zumindest bis nach wiesloch entgegen kommen meine forderung ist eine kostenrückerstattung für sämtlichen schaden den wir davon getragen haben darunter fällt das wertlose zugticket 19€  6€ die spritkosten 400km mit einem verbrauch von gering geschätzten 135l × 150€  81€ der lohnausfall von mir 4h 1h sowie von meinem bruder 3h da ihr aber wahrscheinlich sowieso diese beschwerde nicht bearbeiten werdet da das ja an der eigenen ehre kratzt bzw einen riesigen aufwand mit sich bringt kann man sich darüber gar nicht mehr aufregen in diesem sinne werden wir auch in zukunft so selten wie möglich auf die deutsche zurückgreifen und beende meine nachricht mit meinem anfangszitat  gestern habt ihr mal wieder bewiesen dass ihr das inkompetenteste unternehmen deutschlands seid mit unfreundlichen grüßen nico
0,re db bahn​ hä also vor dem update habe ich bisher nur den grund technische störung am zug gelesen db bahn ok vielen dank für die antwort einen schönen abend noch 
1,re db bahn in den nachrichten steht dass seit 7 uhr maßnahmen für die kunden angelaufen sind und nach angaben der gewerkschaft der streik um 19 uhr endet bis heute mittag will die bahn darüber informieren wann eine wiederaufnahme des regelverkehrs möglich sein wird
1,schnelle bahnverbindung von chemnitz nach leipzig zug bald abgefahren https//tco/74nqgqjfwm
1,3112h vielen dank trotz abgelaufener daten mitgeführt läuft
0,sbahn m 4 akt s 7 kreuzstrasse weiterhin technische störung an einer weiche / 40minutentakt  http//tco/grjf6m1ixm
1,schön dass die sbahn warten konnte danke für das feedback wünsche einen schönen feierabend /da
0,ffm/hbf auf ic2274 fällt aus 10 minuten warten vor ffm/west weil zu früh jetzt 10 min verspätung und trotzdem warten warum
0,aulendorf ausländer würgt in bahn jugendlichen sperrt ihn auf toilette ein schlägt seinen freund https//tco/c36x0c66er … einzelfall
1,streiks lokführer nehmen arbeit wieder auf streiks lokführer nehmen arbeit wieder auf die lokführer beenden ihren streik bei der deutschen bahn nach zwei tagen intensiver gespräche haben sich beide seiten darauf geeinigt den streik am donnerstagabend um 19 uhr zu beenden mit einem normale
0,diese komischen gestalten morgens in der bahn man möchte ihnen am liebsten eine socke schenken und sagten du bist je…
1,bahn streik endet vorzeitig der streik der gewerkschaft deutscher lokomotivführer gdl endet am 21 mai um 19 uhr die gewerkschaft und die deutsche bahn haben sich auf die tariflichen grundlagen für einen flächentarifvertrag für das zugpersonal und gleichzeitig auf ein schlic
0,sbahn m s 3 holzkirchen triebfahrzeugsstörung / beeinträchtigungen stand 030715 1520 uhr  http//tco/zhvaolhyp9
0,war heute wieder nichts mit reinigung in sechterdingen 
0,150 tacken für einen monat bahn fahren im vrs kreis für ne studentin sagt mal tickt die db noch irgendwie ansatzweise richtig im hirn
0,re rauchverbot bei der deutschen bahn nahverkehr in frankfurt anm angeblich dicke luft am bahnsteig http//wwwfronlinede/frankfurt/nahverkehrinfrankfurtdickeluftambahnstei zitat die deutsche bahn weist für raucher zonen in den oberirdischen stationen aus die vgf nicht manche fahrgäste fühlen sich vom qualm der mitreisenden belästigt die verkehrsgesellschaft frankfurt vgf treibt raucher an ihren haltestellen offenbar nicht in gelbe  käfige   das treibt den blutdruck der antiraucher in die höhe natürlich hat man auch wieder raucher gefunden die die verbannung in gelbe raucherzonen ganz ok finden
1,gdl und bahn erklären streik für beendet http//tco/peonknghwr
1,1969 hoffentlich auch unter windowsphone db navigator läuft 
1,expressde 51 gegen rheinerftauswahl kvbengel salih özcan trifft beim testspielsieg des 1 fc köln seine geschichte rührte viele unserer leser  und jetzt scheint es auch sportlich weiter aufwärts zu gehen salih özcan rettete vor gut zwei jahren einem elfjährigen in der kvb das leben salih damals zarte 15 saß in der bahn hörte die schreie der mädchen die den unfall sahen „als die tür aufging habe ich keine sekunde gezögert ich habe gesehen wie ein arzt unter den zug krabbelt und bin hinterher ich habe den kopf des jungen gehalten die gleise mit einem handtuch gepolstert mit ihm gesprochen damit er bei bewusstsein bleibt“ sagte er seinerzeit dem express seine geschichte rührte viele unserer leser  und jetzt scheint es auch sportlich weiter aufwärts zu gehen kvbengel salih özcan hat beim testspiel des 1 fc köln gegen eine rheinerftauswahl einen treffer beigesteuert
1,1435 hey  ihr dürft mir ruhig mehr solch netter fahrgäste gewinnen immer wieder gerne d https//tco/cnbr249yh2
0,re bahninfo süd 31121237 bayern störung an einem bahnübergang auf der strecke münchen donnersbergerbrücke  wolfratshausen zwischen pullach und höllriegelskreuth es kommt zu verspätungen in beiden richtungen im sbahnverkehr der deutschen bahn /sl
1,dj midday briefing  unternehmen und märkte 2 bahn und gdl der hart geführte tarifkonflikt zwischen der deutschen bahn und der lokführergewerkschaft ist nach einem jahr beendet der thüringische ministerpräsident bodo ramelow linke und der frühere ministerpräsident brandenburgs matthias
0,ich widerspreche teilweise dem widerspruch ich widerspreche teilweise dem widerspruch breisgausbahn  mannheim/freiburg/gera donnerstag 21 mai 2015 1131 vor 6 minuten  marien also die re göttingenleinefeldegotha fuhren während des streiks noch nie alle zugläufe wurden in gotha beendet das hat nix mit dem ende des streiks zu tun das mag durchaus sein aber gestern wurden mir sowohl in der app als auch im reisezentrum zwei verbindungen mit dem re 1 ausgegeben deshalb gehe ich davon aus dass im ersatzfahrplan diese züge verzeichnet waren und gefahren wären heute hingegen meint die app mich auf eine 6stündige irrfahrt über würzburg bamberg und saalfeld zu führen davon abgesehen kannst du immer noch über bebra mit der cantusbahn nach eisenach fahren und von eisenach fährt alle zwei stunden ein regionalzug nach erfurt ja und dann weiter über saalfeld in keinem fall also komfortabel ursprungliche ankunft 1800 ankunft nach gestrigem fahrplan 1900bei abfahrt 15 minuten früher ankunft nach heutigem stand 2125 ergo verschlechterung am liebsten ice 1 platz 71 und met
1,liebe deutsche bahnsuper wifi und steckdosenso macht zugfahren spaß https//tco/j18lcrv6tw
1,13 wollte nur ne lustige story erzählen die mir wirklich mal passsiert ist o an sich ist bahn fahren nicht schlimm 
1,bald schneller mit der bahn von deutschland nach paris vor 58 minuten bald schneller mit der bahn von deutschland nach paris deutschland und frankreich wachsen im schienenverkehr langsam zusammen sncf und db haben ihre zusammenarbeit bis 2020 verlängert ein
1,für und wider von anreisepaketen zur kreuzfahrt hamburg oder kiel kann bei rechtzeitiger buchung das sparpreisticket der bahn viel günstiger sein als das anreisepaket des veranstalters wie immer gilt wer sparen möchte muss recherchieren auch beim weg aufs schiff
1,empfehle auch mit  viel gelernt über bahngewerkschaften http//tco/2nmotr9uxo 2 gibts podcast
0,der schwabengeiz gibts wohl auch bei der  waggon aus den 70er badenwürttemberg geizistgeil https//tco/…
0,montag 2 stunden schlaf autopanne sbahn chaos aber das madmaxhigh und die 11 punkte beim oscar tippen erhellen den tag
1,dämme gegen die floskelflut wir sogleich die alten kraftfahrer vor uns die mit der kurbel vor ihr automobil gebeugt den motor anwerfen dabei sind unsere autos längst moderner geworden inzwischen sausen wir mit ice oder tgv durch die landschaft aber
1,re faznet  frankfurter allgemeine zeitung staatsunternehmen stellen nunmal die besseren kundenfreundlicheren produkte her jeder weiß doch dass ein trabant besser ist als ein mercedes und die deutsche bahn für ihre pünktlichkeit weltweit geachtet wird
0,re db bahn liebe christina brink morgen fahren die fernverkehrszüge noch nach dem ersatzfahrplan laut aktueller meldung fällt der ic 2242 morgen streikbedingt aus  einige züge können noch nachgeplant werden diese finden sie dann auch über die live auskunft http//bitly/1xxq35a morgen gilt dann auch noch die regelung dass die zugbindung für sparpreise aufgehoben wird /ja
0,im ice ist es so kalt dass ich im meinen warmen schuhen kalte füsse habe die bahn kriegt das einfach nicht hin mit…
1,hahaha und alle freuen sich über das bahnstreik endeich nicht jetzt kann ich nicht mehr in der bahn kuscheln xd
0,mängel in deutschen zügen der tägliche bahnsinn https//tco/yah0u4uhx1 via s21 bahn grube pofalla
1,kleinanzeigen  2x 2 db tickets für die 1 klasse  kinder fahren kostenlos mit 2x 2 db tickets für die 1 klasse  kinder fahren kostenlos mit diese db geschenktickets habe ich zu weihnachten bekommen leider habe ich…… 31122015 um 1715 uhr bahn  öpnv 100
1,schlichtung erfolgreich tarifkonflikt bei der bahn beendet http//tco/0oqqe8qw9s gdl bahn
1,bahnstreik wird heute beendet http//tco/ndvdg0ajdz bahnstreikbeendet
0,deutsche bahn oberleitungsstörung bei mülheim  sperrung nrw die wichtigsten baustellen der bahn 2015 mülheim an der ruhr die bahnstrecke zwischen duisburg und essen muss wegen einer oberleitungsstörung im laufe des vormittages für etwa eine stunde gesperrt werden bereits jetzt
0,natürlich hat die s bahn ab borbeck verspätung der freitag kann dann weg
0,ich sehe das auch so dass im zusammenhang mit  ich sehe das auch so dass im zusammenhang mit dem gdlstreik die brd die gelegenheit nutzt um die brd den usa das land “chemisch gereinigt” ins ttip zu bringen dass gewerkschaftsarbeit als interessenvertretung der betriebsbelegschaften schon sehr lange ein witz ist ist daran zu erkennen dass es die “sozialpartnerschaft” gibt die sogar im grundgesetz festgelegt ist es gab zeiten da wussten arbeiter noch dass sie um ihre rechte kämpfen mussten heute handeln betriebsrat und unternehmer einen “deal” aus genannt schlichtung natürlich immer zuungunsten der belegschaft um so erstaunlicher die kampfbereitschaft der gdl nicht erstaunlich dass die deutsche bevölkerung sich von den lohnschreibern von jedem gedanken zur solidarität mit der gdl abbringen lässt das bewusstsein der deutschen dass sie in einem klassenstaat leben ist ihnen in 70 jahren gründlich ausgetrieben worden und da hat sich besonders die spd die sogenannte arbeiterpartei hervorgetan immer wieder das argument des “machtkampfes” natürlich ist es ein machtkampf wenn interessen der belegschaft gegen die unternehmer bei der bahn letztlich gegen den staat brd durchgesetzt werden sollen es geht immer um macht wer keine macht hat oder sie nicht einsetzt wird nichts erreichen und dass der staat jedes mittel nutzt um einer kleinen gewerkschaft zu zeigen was sie in diesem staat darf oder nicht ist wohl weniger verwunderlich der staat brd verhält sich eben wie ein imperialistischer staat sich verhält und dass besonders  wieder mal  die spd den vorreiter spielt ist nach allem was das land mit ihr erlebt hat nur folgerichtig am freitag beschließt der bundestag die letzte lesung des tarifeinheitsgesetzes ich sehe mir diese verarschung in jedem fall an läuft auf phoenix ab 845 uhr
1,in der sbahn gerade saßen fünf ältere damen die sekt tranken und rucki zucki sangen und ich hab jetzt neue vorbilder
0,«immer schatten und nie sonne» wo die hitze nicht hinkommt eine frau «da würde man am liebsten wieder rein und weitershoppen»  der ice werden hitzerekorde geknackt spielt auch die klimaanlage in einem ice der deutschen bahn eine hauptrolle eigentlich eine gute idee für die abkühlung  allerdings nicht
1,endlich lösung gefunden 21052015 0725 uhr endlich lösung gefunden der lokführerstreik ist beendet wurde bekannt dass sich die gewerkschaft der lokführer gdl und die deutsche bahn in der nacht geeinigt haben mittelfrankens pendler und reisende also  sobald es mehr
0,meine bahn hat 11 minuten verspätung hoffentlich bekomme ich den anschluss noch
0,diese geringen verzögerungen sind gerade 7 min verspätung meiner s25 bei einem 10mintakt im stadtverkehr echt nicht geringfügig
0,jetzt steht einem harmonischen bundessommerfest der gdl nichts mehr im wege http//tco/omcsp1v0qr http//tco/pjwed2yrj2 bahnstreik bahn
1,sbahn fährt nach streikende fast überall wieder berlin  die berliner sbahn fährt nach ende des lokführerstreiks wieder auf strecken so fallen die linien s und s sind noch wieder  wie es auf der der sbahnberlin  die s1 s2 s s3 s5 und s7 im 20minuten die linien s /42 im minutenm
0,muenchen münchner nahverkehr natronlauge in sbahn putzfrau stellt sich bei einer fahrt mit der sbahn set https//tco/egukpyhcpo
1,guten morgen aus der kleinen stadt mit der modernen sbahn ja richtig modern es gibt jetzt wlan https//tco/mb0bp8exaa
0,sternde stichflamme schießt aus iceklimaanlage  weltgeschehen sternde stichflamme schießt aus iceklimaanlage http//tco/7i3upbquqn dienachrichten stern dass die klimaanlagen in den zügen der deutschen bahn bei heißerem wetter durchaus einmal versagen können ist bekannt nun schoss eine stichflamme aus 
1,roundup 2 bahnstreik beendet  ramelow und platzeck sollen schlichten roundup 2 bahnstreik beendet  ramelow und platzeck sollen schlichten berlin dpaafx  die lokführergewerkschaft gdl hat sich mit der deutschen bahn überraschend auf eine schlichtung geeinigt und beendet ihren neunten streik bei dem konzern noch
0,deutsche bahn komplizierte erstattung bei handytickets http//tco/ocw67uzveu via
